"OTU","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Rank1","Rank2","Rank3","Rank4","Rank5","Rank6","Rank7","Rank8"
"OTU.2052",0.113260615023356,-0.29953806513651,0.80433761537647,-0.372403403011696,0.709592520608522,NA,"Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","CL500-3","uncultured_bacterium",NA
"OTU.2055",0.0918474190521727,-0.233517696564365,0.805914364111278,-0.289754975172674,0.772003695393656,NA,"Bacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinoallomurus",NA,NA,NA
"OTU.2054",0.134639505657963,0.94541177435674,0.830013240343968,1.1390321604568,0.254689740619306,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacterineae","uncultured","uncultured_bacterium",NA
"OTU.2586",0.0676479141219701,-0.203842411277988,0.80520226690917,-0.253156777688236,0.800147065175909,NA,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncultured","uncultured_bacterium",NA,NA
"OTU.2584",0.0912009375825274,-0.299538063590862,0.804337615356853,-0.372403401099137,0.709592522032293,NA,"Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","uncultured_bacterium",NA
"OTU.2583",0.074825817176915,0.786363023700362,0.819805365576306,0.959206973654735,0.337454488041169,NA,"Bacteria","Acidobacteria","Candidatus_Solibacter","uncultured_bacterium",NA,NA,NA,NA
"OTU.2582",0.0702335252149368,0.768219730518045,0.818528574550002,0.938537461493491,0.347968274614872,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27",NA,NA,NA
"OTU.1594",0.377447359389758,-0.8757433967443,0.955748418120213,-0.916290710129274,0.359514439193615,NA,"Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","uncultured","uncultured_planctomycete",NA
"OTU.3188",0.575203182020616,-1.40703177188452,1.00822167290753,-1.39555795088881,0.162847652320715,NA,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","uncultured","uncultured_bacterium",NA
"OTU.3186",0.0912009375825274,-0.299538063590862,0.804337615356853,-0.372403401099137,0.709592522032293,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","FFCH16767","uncultured_bacterium",NA,NA
"OTU.3187",0.0918474190521727,-0.233517696564365,0.805914364111278,-0.289754975172674,0.772003695393656,NA,"Bacteria","Acidobacteria","Holophagae","iii1-8","uncultured_bacterium",NA,NA,NA
"OTU.3180",0.118206349022236,-0.276304738973698,0.807102174767112,-0.342341710395497,0.732093749405991,NA,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystineae","uncultured","uncultured_bacterium",NA
"OTU.3181",1.68770371917398,0.470685255151611,0.867383371093996,0.542649618193572,0.587371069068569,NA,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,NA
"OTU.3182",0.204987113062007,0.309285783764532,0.883592446818972,0.350032172499882,0.726314552944671,NA,"Bacteria","Verrucomicrobia","Opitutae","Opitutales","Opitutaceae","Opitutus","uncultured_bacterium",NA
"OTU.731",0.645265953858678,-0.623399150582045,1.00734424585554,-0.618854133675613,0.536012456444072,NA,"Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","Caldilinea","uncultured_bacterium",NA
"OTU.730",1.28001130015594,1.0294360518519,0.894979116828559,1.15023471776616,0.250047210519445,NA,"Bacteria","Chloroflexi","S085","uncultured_bacterium",NA,NA,NA,NA
