OTU,shift,Day,Treatment
OTU.194,-0.005146052498742337,1,13CXPS
OTU.197,0.0025670709130605207,1,13CXPS
OTU.196,0.0005186511436685581,1,13CXPS
OTU.191,-0.004514787637850626,1,13CXPS
OTU.190,0.0002603028848982003,1,13CXPS
OTU.193,-0.006869552139760371,1,13CXPS
OTU.192,0.0037723698175615716,1,13CXPS
OTU.2923,,1,13CXPS
OTU.995,0.002736004189051844,1,13CXPS
OTU.994,0.02896051440967362,1,13CXPS
OTU.997,0.001287235478178106,1,13CXPS
OTU.996,-0.008469007921372507,1,13CXPS
OTU.991,-0.0014753743723361357,1,13CXPS
OTU.990,0.008616830453753943,1,13CXPS
OTU.993,-0.005323964276578108,1,13CXPS
OTU.992,0.0008594240449357748,1,13CXPS
OTU.999,,1,13CXPS
OTU.998,0.004055478570371918,1,13CXPS
OTU.915,,1,13CXPS
OTU.914,0.014857065092251487,1,13CXPS
OTU.2769,-0.00256550090730423,1,13CXPS
OTU.2768,,1,13CXPS
OTU.2763,,1,13CXPS
OTU.2762,0.00777709471479926,1,13CXPS
OTU.2761,,1,13CXPS
OTU.2760,,1,13CXPS
OTU.2767,-0.0044717167830119475,1,13CXPS
OTU.2766,,1,13CXPS
OTU.2765,-0.004731069463605353,1,13CXPS
OTU.2764,,1,13CXPS
OTU.917,,1,13CXPS
OTU.1942,0.0050557883088393485,1,13CXPS
OTU.1943,-0.013263699363262216,1,13CXPS
OTU.1940,0.0,1,13CXPS
OTU.1941,,1,13CXPS
OTU.1946,,1,13CXPS
OTU.1947,-0.0208543425648966,1,13CXPS
OTU.1944,,1,13CXPS
OTU.1945,-0.002849289804007782,1,13CXPS
OTU.1948,0.007225276327660124,1,13CXPS
OTU.1949,0.0019913027824556284,1,13CXPS
OTU.2927,,1,13CXPS
OTU.6031,,1,13CXPS
OTU.5083,,1,13CXPS
OTU.5082,,1,13CXPS
OTU.5081,,1,13CXPS
OTU.5080,,1,13CXPS
OTU.5087,,1,13CXPS
OTU.5086,,1,13CXPS
OTU.5085,0.0018454260529745525,1,13CXPS
OTU.5084,,1,13CXPS
OTU.5089,,1,13CXPS
OTU.5088,0.012363081178832891,1,13CXPS
OTU.2926,,1,13CXPS
OTU.911,-0.012965877132152803,1,13CXPS
OTU.6030,,1,13CXPS
OTU.6178,,1,13CXPS
OTU.910,0.018751427693497025,1,13CXPS
OTU.6037,,1,13CXPS
OTU.913,-0.04140186711850746,1,13CXPS
OTU.4688,,1,13CXPS
OTU.4689,-0.025734432058114542,1,13CXPS
OTU.4686,,1,13CXPS
OTU.4687,,1,13CXPS
OTU.4684,,1,13CXPS
OTU.4685,,1,13CXPS
OTU.4682,,1,13CXPS
OTU.4683,,1,13CXPS
OTU.4680,,1,13CXPS
OTU.4681,,1,13CXPS
OTU.912,,1,13CXPS
OTU.6035,,1,13CXPS
OTU.815,-0.007651638693937146,1,13CXPS
OTU.4354,-0.01026104112461712,1,13CXPS
OTU.4355,,1,13CXPS
OTU.4356,,1,13CXPS
OTU.4357,,1,13CXPS
OTU.4350,,1,13CXPS
OTU.4351,,1,13CXPS
OTU.4352,,1,13CXPS
OTU.4353,,1,13CXPS
OTU.4358,,1,13CXPS
OTU.4359,,1,13CXPS
OTU.4239,,1,13CXPS
OTU.4238,-0.006936698509657502,1,13CXPS
OTU.4237,,1,13CXPS
OTU.4236,,1,13CXPS
OTU.1315,0.04466032524477104,1,13CXPS
OTU.1314,,1,13CXPS
OTU.1313,-0.000830307080566639,1,13CXPS
OTU.4232,,1,13CXPS
OTU.4231,,1,13CXPS
OTU.4230,,1,13CXPS
OTU.2998,0.0,1,13CXPS
OTU.2999,,1,13CXPS
OTU.2990,,1,13CXPS
OTU.2991,,1,13CXPS
OTU.2992,,1,13CXPS
OTU.2993,,1,13CXPS
OTU.2994,,1,13CXPS
OTU.2995,,1,13CXPS
OTU.2996,,1,13CXPS
OTU.2997,,1,13CXPS
OTU.3225,0.018578922684174826,1,13CXPS
OTU.3224,-0.008986384401741043,1,13CXPS
OTU.3227,0.0028134151316929756,1,13CXPS
OTU.3226,,1,13CXPS
OTU.3221,0.009882545431597611,1,13CXPS
OTU.3220,,1,13CXPS
OTU.3223,-0.00669158011221338,1,13CXPS
OTU.3222,,1,13CXPS
OTU.3229,-0.021794209981513157,1,13CXPS
OTU.3228,,1,13CXPS
OTU.4901,,1,13CXPS
OTU.2577,,1,13CXPS
OTU.2574,,1,13CXPS
OTU.4902,,1,13CXPS
OTU.4905,,1,13CXPS
OTU.4904,,1,13CXPS
OTU.2570,,1,13CXPS
OTU.4906,,1,13CXPS
OTU.4909,,1,13CXPS
OTU.4908,,1,13CXPS
OTU.2578,,1,13CXPS
OTU.2579,,1,13CXPS
OTU.3481,,1,13CXPS
OTU.1991,0.0270846827076745,1,13CXPS
OTU.3483,,1,13CXPS
OTU.3482,,1,13CXPS
OTU.3485,-0.03630428196712998,1,13CXPS
OTU.3484,0.0028134151316929756,1,13CXPS
OTU.3487,,1,13CXPS
OTU.3486,,1,13CXPS
OTU.3489,0.005436143149195827,1,13CXPS
OTU.3488,,1,13CXPS
OTU.1993,-0.012204324741267758,1,13CXPS
OTU.506,-0.010088024564132159,1,13CXPS
OTU.507,-0.03217250035789232,1,13CXPS
OTU.504,-0.032634239912829655,1,13CXPS
OTU.1992,0.017758034907425335,1,13CXPS
OTU.502,0.0036556808917553862,1,13CXPS
OTU.503,0.0029287564420117373,1,13CXPS
OTU.500,-0.0166537196670844,1,13CXPS
OTU.501,0.01640312316924475,1,13CXPS
OTU.1995,,1,13CXPS
OTU.508,-0.0027827496551902087,1,13CXPS
OTU.1994,,1,13CXPS
OTU.4745,0.0,1,13CXPS
OTU.1996,-0.03177922652496701,1,13CXPS
OTU.1887,,1,13CXPS
OTU.1886,,1,13CXPS
OTU.1885,,1,13CXPS
OTU.1884,,1,13CXPS
OTU.1883,-0.016193178103331096,1,13CXPS
OTU.1882,-0.016727452987494118,1,13CXPS
OTU.1881,-0.000937391997952508,1,13CXPS
OTU.1880,-0.0326769154585842,1,13CXPS
OTU.5610,0.005692912544390971,1,13CXPS
OTU.1889,0.025014243012411175,1,13CXPS
OTU.1888,-0.017196854046695353,1,13CXPS
OTU.6217,,1,13CXPS
OTU.6216,,1,13CXPS
OTU.6215,,1,13CXPS
OTU.5611,,1,13CXPS
OTU.6213,,1,13CXPS
OTU.6212,,1,13CXPS
OTU.6211,,1,13CXPS
OTU.6210,,1,13CXPS
OTU.2644,,1,13CXPS
OTU.6219,,1,13CXPS
OTU.5617,,1,13CXPS
OTU.762,-0.010356321317419814,1,13CXPS
OTU.763,-0.030008031374972655,1,13CXPS
OTU.760,0.029241523561128746,1,13CXPS
OTU.761,-0.010594396972673614,1,13CXPS
OTU.2688,,1,13CXPS
OTU.2689,,1,13CXPS
OTU.764,0.022714565046558777,1,13CXPS
OTU.765,0.011924764200336613,1,13CXPS
OTU.2684,,1,13CXPS
OTU.2685,0.006984065405376327,1,13CXPS
OTU.2686,0.015394373318715404,1,13CXPS
OTU.2687,,1,13CXPS
OTU.2680,,1,13CXPS
OTU.2681,,1,13CXPS
OTU.2682,,1,13CXPS
OTU.2683,,1,13CXPS
OTU.916,0.0014276984476122578,1,13CXPS
OTU.1089,0.004815267830157399,1,13CXPS
OTU.1088,,1,13CXPS
OTU.1087,0.004104904259125464,1,13CXPS
OTU.1086,0.003527740028337778,1,13CXPS
OTU.1085,0.01061818932307479,1,13CXPS
OTU.1084,-0.009856334435051073,1,13CXPS
OTU.1083,,1,13CXPS
OTU.1082,-0.017283597729094158,1,13CXPS
OTU.1081,,1,13CXPS
OTU.1080,-0.005805460915804472,1,13CXPS
OTU.3812,,1,13CXPS
OTU.3813,,1,13CXPS
OTU.3810,,1,13CXPS
OTU.3811,-0.017767241298844105,1,13CXPS
OTU.3816,,1,13CXPS
OTU.3817,,1,13CXPS
OTU.3814,,1,13CXPS
OTU.3815,,1,13CXPS
OTU.3818,,1,13CXPS
OTU.3819,0.00614976177937443,1,13CXPS
OTU.6176,,1,13CXPS
OTU.6177,,1,13CXPS
OTU.6174,,1,13CXPS
OTU.6175,,1,13CXPS
OTU.6172,,1,13CXPS
OTU.6173,,1,13CXPS
OTU.6170,,1,13CXPS
OTU.6171,,1,13CXPS
OTU.5748,0.0,1,13CXPS
OTU.5749,,1,13CXPS
OTU.5740,,1,13CXPS
OTU.5741,,1,13CXPS
OTU.5742,,1,13CXPS
OTU.5743,,1,13CXPS
OTU.5744,,1,13CXPS
OTU.5745,,1,13CXPS
OTU.5746,,1,13CXPS
OTU.5747,,1,13CXPS
OTU.2453,0.001958378905539737,1,13CXPS
OTU.6179,,1,13CXPS
OTU.2452,-0.021753454581265208,1,13CXPS
OTU.4259,,1,13CXPS
OTU.4258,,1,13CXPS
OTU.862,-0.0008190843984909879,1,13CXPS
OTU.5339,,1,13CXPS
OTU.5338,0.004128615966406679,1,13CXPS
OTU.4250,,1,13CXPS
OTU.5331,,1,13CXPS
OTU.5330,,1,13CXPS
OTU.5333,,1,13CXPS
OTU.5332,,1,13CXPS
OTU.5335,,1,13CXPS
OTU.4253,,1,13CXPS
OTU.5337,,1,13CXPS
OTU.5336,,1,13CXPS
OTU.1744,-0.006279421659696416,1,13CXPS
OTU.4252,,1,13CXPS
OTU.1745,,1,13CXPS
OTU.4255,,1,13CXPS
OTU.1746,-0.009005824473353963,1,13CXPS
OTU.4254,,1,13CXPS
OTU.1747,-0.03077268125411292,1,13CXPS
OTU.4257,,1,13CXPS
OTU.1740,,1,13CXPS
OTU.4256,-0.03052868091711125,1,13CXPS
OTU.1741,,1,13CXPS
OTU.5872,,1,13CXPS
OTU.1742,-0.011294868869414554,1,13CXPS
OTU.5873,-0.0023189360559814354,1,13CXPS
OTU.4991,0.003190280282050262,1,13CXPS
OTU.5870,,1,13CXPS
OTU.5871,,1,13CXPS
OTU.5876,,1,13CXPS
OTU.5877,,1,13CXPS
OTU.5874,,1,13CXPS
OTU.5307,,1,13CXPS
OTU.2433,-0.004678121436223703,1,13CXPS
OTU.2275,0.010351815794344743,1,13CXPS
OTU.2274,-0.00023775073009879577,1,13CXPS
OTU.5557,,1,13CXPS
OTU.2432,,1,13CXPS
OTU.5556,,1,13CXPS
OTU.5551,,1,13CXPS
OTU.2270,0.0055781483061077,1,13CXPS
OTU.1508,-0.011216360486585586,1,13CXPS
OTU.1509,,1,13CXPS
OTU.2273,,1,13CXPS
OTU.1502,,1,13CXPS
OTU.1503,-0.00035096026707059913,1,13CXPS
OTU.1500,0.014519764532440638,1,13CXPS
OTU.1501,0.007572644107878057,1,13CXPS
OTU.1506,,1,13CXPS
OTU.1507,,1,13CXPS
OTU.1504,-0.012106942362096529,1,13CXPS
OTU.1505,,1,13CXPS
OTU.6152,,1,13CXPS
OTU.3562,,1,13CXPS
OTU.3563,,1,13CXPS
OTU.3560,,1,13CXPS
OTU.3561,,1,13CXPS
OTU.3566,,1,13CXPS
OTU.3567,,1,13CXPS
OTU.3564,,1,13CXPS
OTU.3565,,1,13CXPS
OTU.5559,-0.005920634119829016,1,13CXPS
OTU.3568,,1,13CXPS
OTU.3569,,1,13CXPS
OTU.5558,,1,13CXPS
OTU.6233,,1,13CXPS
OTU.2437,-0.011149720904936489,1,13CXPS
OTU.6232,,1,13CXPS
OTU.2436,-0.00669158011221338,1,13CXPS
OTU.979,0.009394572353637276,1,13CXPS
OTU.978,0.0003155248460939841,1,13CXPS
OTU.977,,1,13CXPS
OTU.976,0.0069431813395466335,1,13CXPS
OTU.975,0.014179233028462246,1,13CXPS
OTU.974,,1,13CXPS
OTU.973,-0.00850461500207933,1,13CXPS
OTU.972,,1,13CXPS
OTU.971,,1,13CXPS
OTU.970,-0.010461552944467156,1,13CXPS
OTU.2435,0.0005773272033282595,1,13CXPS
OTU.6156,0.009627438348710271,1,13CXPS
OTU.6157,,1,13CXPS
OTU.5533,,1,13CXPS
OTU.5532,,1,13CXPS
OTU.5531,,1,13CXPS
OTU.5530,,1,13CXPS
OTU.5537,,1,13CXPS
OTU.5536,,1,13CXPS
OTU.2215,,1,13CXPS
OTU.2214,,1,13CXPS
OTU.2749,,1,13CXPS
OTU.2748,,1,13CXPS
OTU.5539,0.0215846653343732,1,13CXPS
OTU.2218,,1,13CXPS
OTU.6158,,1,13CXPS
OTU.5802,,1,13CXPS
OTU.6159,,1,13CXPS
OTU.2438,-0.004731404843625997,1,13CXPS
OTU.4378,,1,13CXPS
OTU.4379,,1,13CXPS
OTU.4372,,1,13CXPS
OTU.4373,,1,13CXPS
OTU.4370,,1,13CXPS
OTU.4371,,1,13CXPS
OTU.4376,,1,13CXPS
OTU.4377,,1,13CXPS
OTU.4374,,1,13CXPS
OTU.4375,,1,13CXPS
OTU.4569,,1,13CXPS
OTU.1335,0.004269166592515639,1,13CXPS
OTU.1334,0.0065405366574256,1,13CXPS
OTU.1337,0.03262471977699,1,13CXPS
OTU.1336,-0.001997055093615918,1,13CXPS
OTU.1331,-0.008722048425394036,1,13CXPS
OTU.4210,,1,13CXPS
OTU.1333,0.003471995603475664,1,13CXPS
OTU.1332,0.006045429514611511,1,13CXPS
OTU.1339,,1,13CXPS
OTU.1338,,1,13CXPS
OTU.1043,,1,13CXPS
OTU.1042,,1,13CXPS
OTU.1041,-0.005518585489153072,1,13CXPS
OTU.1040,,1,13CXPS
OTU.1047,-0.028662650540126178,1,13CXPS
OTU.1046,0.010275420626687959,1,13CXPS
OTU.1045,0.0115767367321995,1,13CXPS
OTU.1044,0.01519361997962898,1,13CXPS
OTU.5298,-0.006845046099642316,1,13CXPS
OTU.5299,,1,13CXPS
OTU.5296,-0.016193178103331096,1,13CXPS
OTU.5297,0.04543951128241863,1,13CXPS
OTU.5294,,1,13CXPS
OTU.5295,,1,13CXPS
OTU.5292,,1,13CXPS
OTU.5293,,1,13CXPS
OTU.5290,,1,13CXPS
OTU.5291,,1,13CXPS
OTU.2530,-0.0034824284703958153,1,13CXPS
OTU.2531,,1,13CXPS
OTU.4967,,1,13CXPS
OTU.4966,,1,13CXPS
OTU.4965,0.004041584192978176,1,13CXPS
