copies_per_uL,dilution_factor,volume,Density,treatment,day
3980.2456059743,30,50,1.72530968,13CCPS,14
4276.3940620894,30,47,1.72093864,13CCPS,14
20646.1019100016,30,45,1.71766036,13CCPS,14
52481.5645512721,30,40,1.71438208,13CCPS,14
33435.1927348865,30,50,1.7111038,13CCPS,14
216692.336817189,30,51,1.70782552,13CCPS,14
133112.420478717,30,51,1.70236172,13CCPS,14
423016.695191363,30,48,1.69689792,13CCPS,14
177442.797273385,30,50,1.69361964,13CCPS,14
45658.0681994294,30,50,1.6892486,13CCPS,14
36515.8430821639,30,48,1.68597032,13CCPS,14
11319.7293175894,30,48,1.68159928,13CCPS,14
6462.0205945295,30,47,1.678321,13CCPS,14
1278.0815452485,30,47,1.67504272,13CCPS,14
1897.9341009725,30,48,1.67067168,13CCPS,14
535.0026756166,30,49,1.66520788,13CCPS,14
1186.6761394601,30,48,1.6619296,13CCPS,14
310.9591349376,30,47,1.65755856,13CCPS,14
159.3308276333,30,48,1.65428028,13CCPS,14
419.280490352,30,46,1.651002,13CCPS,14
122.0568884211,30,46,1.64772372,13CCPS,14
396.9703078218,30,50,1.64335268,13CCPS,14
70.9355523872,30,48,1.6400744,13CCPS,14
97.4997251274,30,48,1.63679612,13CCPS,14
25.3494057336,30,46,1.63351784,13CCPS,14
297.5621292219,30,48,1.63023956,13CCPS,14
214.2610184276,30,50,1.80835944,12CCPS,1
386.8124123811,30,50,1.7930608,12CCPS,1
541.0094636772,30,50,1.78868976,12CCPS,1
587.4758623298,30,47,1.78650424,12CCPS,1
221.4824948668,30,44,1.78104044,12CCPS,1
1368.3008281635,30,47,1.7766694,12CCPS,1
230.3364597077,30,40,1.7766694,12CCPS,1
121.1418817436,30,40,1.77229836,12CCPS,1
382.612396637,30,36,1.76464904,12CCPS,1
262.2051104185,30,65,1.75918524,12CCPS,1
638.9409799754,30,68,1.7548142,12CCPS,1
337.9735287392,30,37,1.75153592,12CCPS,1
1478.3467460079,30,45,1.7493504,12CCPS,1
1207.3554542298,30,45,1.74170108,12CCPS,1
1045.6885834718,30,45,1.73733004,12CCPS,1
1930.156395581,30,45,1.732959,12CCPS,1
1721.2268796325,30,45,1.72858796,12CCPS,1
2525.0980197345,30,40,1.72312416,12CCPS,1
7309.4511804592,30,40,1.71875312,12CCPS,1
11286.1746537626,30,44,1.71766036,12CCPS,1
57719.390846119,30,42,1.71328932,12CCPS,1
163354.633177471,30,42,1.70782552,12CCPS,1
136502.36495225,30,45,1.70454724,12CCPS,1
175831.255524259,30,42,1.69908344,12CCPS,1
116525.902986414,30,47,1.69689792,12CCPS,1
39407.9528034374,30,43,1.69143412,12CCPS,1
25408.8623926563,30,45,1.69034136,12CCPS,1
14732.427671071,30,43,1.68487756,12CCPS,1
8170.0352402771,30,38,1.68269204,12CCPS,1
2413.865916193,30,38,1.67941376,12CCPS,1
1498.7113614469,30,40,1.67504272,12CCPS,1
1131.8953548814,30,40,1.66957892,12CCPS,1
901.4522955985,30,41,1.66520788,12CCPS,1
140.2699863127,30,41,1.6619296,12CCPS,1
388.4329373006,30,46,1.65974408,12CCPS,1
410.2577175828,30,44,1.65428028,12CCPS,1
11947.1874992132,30,44.9,1.7657418,12CCPS,14
2677.6252273167,30,51.5,1.75809248,12CCPS,14
9928.6125313093,30,47.3,1.75590696,12CCPS,14
12154.3488494429,30,46.5,1.75153592,12CCPS,14
15576.6336543042,30,45,1.7493504,12CCPS,14
9425.9244639785,30,41,1.74497936,12CCPS,14
11923.5679951815,30,45.5,1.74279384,12CCPS,14
12933.7948382553,30,44.4,1.7384228,12CCPS,14
12445.8987089601,30,44.6,1.73623728,12CCPS,14
8967.3152288884,30,45.9,1.72968072,12CCPS,14
5982.5552324848,30,43.4,1.72640244,12CCPS,14
13271.0991420413,30,56.4,1.71875312,12CCPS,14
69237.7536880564,30,44,1.7165676,12CCPS,14
203793.16265506,30,51.2,1.71219656,12CCPS,14
199719.890253397,30,40.5,1.70673276,12CCPS,14
307900.647414015,30,42.7,1.7001762,12CCPS,14
496806.739632012,30,40.8,1.69799068,12CCPS,14
564449.130772205,30,37.7,1.69361964,12CCPS,14
386863.52476803,30,43.7,1.69034136,12CCPS,14
179225.452842381,30,43.6,1.68487756,12CCPS,14
171908.239671847,30,39.4,1.68269204,12CCPS,14
46704.2372426325,30,50.6,1.67613548,12CCPS,14
11705.9145835269,30,58.7,1.67176444,12CCPS,14
38409.2517701223,30,48.6,1.66957892,12CCPS,14
10893.1337035389,30,46.2,1.66302236,12CCPS,14
16284.7659433751,30,47.6,1.66083684,12CCPS,14
15185.9520475448,30,47.1,1.65755856,12CCPS,14
9067.0291139346,30,45.1,1.651002,12CCPS,14
7853.5582541975,30,43.7,1.651002,12CCPS,14
10153.8834854059,30,106.5,1.6455382,12CCPS,14
4884.565927395,30,28,1.64225992,12CCPS,14
8226.4038607859,30,37.4,1.64116716,12CCPS,14
6500.3459836948,30,60.5,1.6346106,12CCPS,14
7979.4814132769,30,41.4,1.63133232,12CCPS,14
2691.8521907833,30,49.2,1.62696128,12CCPS,14
4073.525487319,30,42.2,1.623683,12CCPS,14
225.846,30,58,1.78431872,13CXPS,30
194.562,30,44,1.7821332,13CXPS,30
576.833,30,48,1.77994768,13CXPS,30
558.033,30,46,1.77776216,13CXPS,30
749.430,30,47,1.77448388,13CXPS,30
1107.983,30,47,1.77011284,13CXPS,30
1219.731,30,43,1.7657418,13CXPS,30
1756.119,30,44,1.760278,13CXPS,30
1827.351,30,52,1.75590696,13CXPS,30
2086.325,30,48,1.75153592,13CXPS,30
1277.644,30,47,1.74825764,13CXPS,30
3463.770,30,48,1.74279384,13CXPS,30
511.972,30,56,1.7384228,13CXPS,30
8224.850,30,47,1.732959,13CXPS,30
16713.754,30,51,1.72968072,13CXPS,30
14494.292,30,55,1.72530968,13CXPS,30
27748.595,30,66,1.72093864,13CXPS,30
21007.047,30,88,1.71766036,13CXPS,30
60052.072,30,53,1.71328932,13CXPS,30
67436.186,30,55,1.71001104,13CXPS,30
122843.449,30,48,1.70564,13CXPS,30
124895.560,30,50,1.7001762,13CXPS,30
63531.777,30,47,1.69689792,13CXPS,30
77505.228,30,49,1.69252688,13CXPS,30
35108.316,30,54,1.68815584,13CXPS,30
25122.971,30,63,1.68597032,13CXPS,30
31057.536,30,66,1.68269204,13CXPS,30
8009.695,30,84,1.67941376,13CXPS,30
9452.920,30,88,1.67504272,13CXPS,30
8334.585,30,92,1.66848616,13CXPS,30
5070.304,30,73,1.66957892,13CXPS,30
15798.323,30,49,1.66302236,13CXPS,30
9934.614,30,50,1.65974408,13CXPS,30
2622.243,30,48,1.65755856,13CXPS,30
3074.291,30,46,1.65428028,13CXPS,30
3676.639,30,33,1.64881648,13CXPS,30
31771.4741887165,30,41,1.77339112,12CCPS,3
65251.1033915603,30,50,1.77011284,12CCPS,3
50788.0288823313,30,50,1.76464904,12CCPS,3
161980.039128647,30,49,1.76137076,12CCPS,3
105329.909229325,30,48,1.75590696,12CCPS,3
40721.0622787871,30,47,1.75153592,12CCPS,3
55187.4213332273,30,48,1.74497936,12CCPS,3
205404.998968976,30,43,1.74060832,12CCPS,3
764704.885849426,30,48,1.73733004,12CCPS,3
859234.429890106,30,48,1.73186624,12CCPS,3
492709.291191593,30,45,1.72858796,12CCPS,3
1684327.87917643,30,46,1.72312416,12CCPS,3
10139149.1690156,30,49,1.71875312,12CCPS,3
43490529.8389638,30,46,1.71438208,12CCPS,3
78529173.3191904,30,46,1.7111038,12CCPS,3
221146616.831828,30,45,1.70564,12CCPS,3
233292503.682079,30,49,1.70126896,12CCPS,3
322085572.974444,30,48,1.69799068,12CCPS,3
259700726.506038,30,48,1.69361964,12CCPS,3
41507033.1003272,30,47,1.6892486,12CCPS,3
19630044.2847205,30,48,1.68597032,12CCPS,3
3727778.61936915,30,48,1.68269204,12CCPS,3
442868.335862618,30,50,1.678321,12CCPS,3
647602.586778064,30,47,1.67394996,12CCPS,3
601148.37380139,30,46,1.66957892,12CCPS,3
96781.8812520516,30,46,1.66630064,12CCPS,3
50306.1956027515,30,46,1.66083684,12CCPS,3
98162.6847575771,30,47,1.65755856,12CCPS,3
164677.145461303,30,46,1.65318752,12CCPS,3
58493.6091974768,30,48,1.651002,12CCPS,3
41290.8271624168,30,44,1.64663096,12CCPS,3
42744.3800451297,30,48,1.64335268,12CCPS,3
40126.9143165202,30,47,1.6400744,12CCPS,3
91904.8260676467,30,45,1.63570336,12CCPS,3
18803.7104608044,30,47,1.63242508,12CCPS,3
18754.0055434775,30,46,1.6291468,12CCPS,3
1550.1485576714,30,44,1.75809248,13CXPS,3
3112.2362771775,30,47,1.75153592,13CXPS,3
2303.6962450893,30,49,1.75044316,13CXPS,3
6266.7245459488,30,58,1.74607212,13CXPS,3
21366.2494179391,30,49,1.74607212,13CXPS,3
17661.2446786509,30,68,1.74170108,13CXPS,3
20394.4823017031,30,61,1.73951556,13CXPS,3
30568.4627594498,30,44,1.73623728,13CXPS,3
30238.6808199717,30,48,1.732959,13CXPS,3
34463.6767584805,30,48,1.73077348,13CXPS,3
35866.2701725273,30,46,1.72640244,13CXPS,3
74736.2252268066,30,47,1.72530968,13CXPS,3
93922.5590635678,30,47,1.72093864,13CXPS,3
168328.271747843,30,46,1.7165676,13CXPS,3
254962.128588844,30,46,1.71219656,13CXPS,3
351678.583619471,30,44,1.70891828,13CXPS,3
358886.202462832,30,48,1.70564,13CXPS,3
402728.034860186,30,46,1.7001762,13CXPS,3
186644.541577968,30,47,1.69580516,13CXPS,3
126695.440911538,30,45,1.69252688,13CXPS,3
72239.1811027873,30,48,1.6892486,13CXPS,3
52359.3442159579,30,46,1.68487756,13CXPS,3
12896.493204334,30,45,1.67941376,13CXPS,3
11436.9423158073,30,34,1.67722824,13CXPS,3
6816.128737353,30,45,1.6728572,13CXPS,3
6791.8593946197,30,45,1.67176444,13CXPS,3
6638.119701161,30,48,1.66630064,13CXPS,3
4606.1619913724,30,48,1.6619296,13CXPS,3
14489.3763211911,30,46,1.65974408,13CXPS,3
9296.2452203914,30,42,1.65428028,13CXPS,3
7233.5053928926,30,38,1.651002,13CXPS,3
5101.3241474546,30,38,1.64772372,13CXPS,3
4006.1962992246,30,46,1.6455382,13CXPS,3
4525.1895016608,30,54,1.64116716,13CXPS,3
1944.3182260145,30,46,1.63679612,13CXPS,3
6072.8394940131,30,41,1.63242508,13CXPS,3
17.8560703528,30,46,1.79633908,13CCPS,30
79.3496644117,30,47,1.76464904,13CCPS,30
62.1066228337,30,51,1.760278,13CCPS,30
118.1878681265,30,47,1.75699972,13CCPS,30
210.7990870897,30,54,1.75262868,13CCPS,30
236.222468262,30,48,1.7493504,13CCPS,30
530.3726189709,30,55,1.7438866,13CCPS,30
1522.7117145006,30,47,1.74060832,13CCPS,30
2075.1805438897,30,43,1.73405176,13CCPS,30
3453.5589974997,30,45,1.73186624,13CCPS,30
2947.4967052525,30,41,1.72421692,13CCPS,30
7157.8194027578,30,39,1.72093864,13CCPS,30
8197.1460958658,30,48,1.7165676,13CCPS,30
21127.8754275862,30,49,1.71219656,13CCPS,30
23393.9528230823,30,46,1.70782552,13CCPS,30
54031.4300876365,30,47,1.70454724,13CCPS,30
74717.3438910012,30,47,1.69908344,13CCPS,30
54101.6523530739,30,41,1.69580516,13CCPS,30
20978.0023470848,30,45,1.69143412,13CCPS,30
3992.0425941569,30,43,1.69252688,13CCPS,30
4339.5050713036,30,44,1.6837848,13CCPS,30
2402.8754631511,30,43,1.68050652,13CCPS,30
741.9092511208,30,48,1.67504272,13CCPS,30
692.9762189631,30,44,1.67067168,13CCPS,30
229.9958486933,30,55,1.66957892,13CCPS,30
197.8344175005,30,43,1.66411512,13CCPS,30
186.2388559494,30,41,1.66083684,13CCPS,30
139.8296687715,30,41,1.65755856,13CCPS,30
465.1524097509,30,47,1.65428028,13CCPS,30
95.3337085126,30,41,1.65428028,13CCPS,30
225.0309286316,30,41,1.64772372,13CCPS,30
69.0713159928,30,60,1.64444544,13CCPS,30
33.3671897312,30,42,1.64116716,13CCPS,30
92.710940173,30,41,1.63679612,13CCPS,30
97.2500477956,30,42,1.6346106,13CCPS,30
219.1971790309,30,43,1.63133232,13CCPS,30
75.4993130315,30,44,1.7930608,12CCPS,30
109.4236002972,30,41,1.78978252,12CCPS,30
318.0306669499,30,45,1.7821332,12CCPS,30
307.6656420635,30,50,1.77339112,12CCPS,30
543.9850945674,30,41,1.76902008,12CCPS,30
728.1468917933,30,50,1.76137076,12CCPS,30
909.1425829934,30,47,1.75262868,12CCPS,30
2000.3868916802,30,42,1.74607212,12CCPS,30
1007.4905934675,30,43,1.73951556,12CCPS,30
1489.5085483779,30,47,1.73623728,12CCPS,30
1519.4170657731,30,47,1.72968072,12CCPS,30
3128.8086239957,30,47,1.72640244,12CCPS,30
5298.8301651817,30,48,1.7220314,12CCPS,30
24248.2834461451,30,50,1.71547484,12CCPS,30
53177.0204722683,30,46,1.71219656,12CCPS,30
176458.263059896,30,45,1.70891828,12CCPS,30
219591.740006969,30,45,1.70454724,12CCPS,30
371892.140366099,30,47,1.7001762,12CCPS,30
125853.123904275,30,48,1.69689792,12CCPS,30
253217.08211804,30,18,1.69361964,12CCPS,30
102481.624249097,30,45,1.68815584,12CCPS,30
12.6567441169,30,46,1.6837848,12CCPS,30
7069.2444573357,30,47,1.68159928,12CCPS,30
10245.6850114725,30,44,1.67941376,12CCPS,30
4641.0901032566,30,46,1.67394996,12CCPS,30
1080.0901363227,30,48,1.67394996,12CCPS,30
1465.0349993177,30,48,1.66630064,12CCPS,30
1509.3814211718,30,48,1.65974408,12CCPS,30
509.1045752532,30,48,1.65755856,12CCPS,30
692.841670266,30,49,1.6564658,12CCPS,30
507.4204895798,30,47,1.64881648,12CCPS,30
564.1778091287,30,48,1.64772372,12CCPS,30
1344.1074863066,30,48,1.64225992,12CCPS,30
1534.5957814286,30,46,1.63788888,12CCPS,30
608.8537706776,30,43,1.63570336,12CCPS,30
1051.8359253137,30,44,1.63242508,12CCPS,30
10.2670899229,30,72,1.79743184,13CXPS,14
53.8627350291,30,68,1.79415356,13CXPS,14
60.1838274628,30,51,1.7930608,13CXPS,14
118.1509121832,30,50,1.787597,13CXPS,14
20.7110583315,30,78,1.78431872,13CXPS,14
329.1556939559,30,60,1.77885492,13CXPS,14
120.6522624733,30,60,1.77448388,13CXPS,14
413.0163193212,30,61,1.76902008,13CXPS,14
166.9008610364,30,46,1.76355628,13CXPS,14
229.2414289625,30,49,1.75809248,13CXPS,14
192.1953386323,30,50,1.75372144,13CXPS,14
178.6331919567,30,44,1.7493504,13CXPS,14
758.2877176197,30,71,1.74497936,13CXPS,14
48.2643924103,30,188,1.7384228,13CXPS,14
2098.7971091037,30,54,1.73514452,13CXPS,14
3661.9204469508,30,56,1.73077348,13CXPS,14
5300.4209844934,30,68,1.72530968,13CXPS,14
5521.8836534139,30,66,1.72312416,13CXPS,14
9317.5582032903,30,56,1.71984588,13CXPS,14
22639.6108508786,30,66,1.71547484,13CXPS,14
37710.2574786193,30,47,1.7111038,13CXPS,14
50607.4439603698,30,48,1.70891828,13CXPS,14
47450.5692761618,30,45,1.70345448,13CXPS,14
25575.1567686116,30,49,1.69908344,13CXPS,14
22453.4373716096,30,44,1.6947124,13CXPS,14
20240.9447116039,30,51,1.6892486,13CXPS,14
2035.8084094134,30,105,1.68487756,13CXPS,14
5728.3419297258,30,82,1.68269204,13CXPS,14
3536.1601442308,30,72,1.67941376,13CXPS,14
3426.2624557066,30,89,1.67504272,13CXPS,14
2492.4067518993,30,48,1.67176444,13CXPS,14
748.9145495384,30,96,1.66957892,13CXPS,14
719.9750009441,30,93,1.66411512,13CXPS,14
309.3711558338,30,46,1.66083684,13CXPS,14
359.4062890587,30,46,1.65755856,13CXPS,14
394.5172800817,30,47,1.65318752,13CXPS,14
61.6204690773,30,38,1.77776216,13CCPS,3
43.514099453,30,45,1.77448388,13CCPS,3
45.8832318025,30,43,1.7712056,13CCPS,3
60.4075191159,30,43,1.76902008,13CCPS,3
43.0837006792,30,48,1.76683456,13CCPS,3
152.7604749587,30,46,1.7657418,13CCPS,3
102.9840578017,30,39,1.76355628,13CCPS,3
113.370744856,30,42,1.76246352,13CCPS,3
83.0299927497,30,41,1.76137076,13CCPS,3
102.6433930645,30,41,1.76246352,13CCPS,3
3.6618200644,30,38,1.760278,13CCPS,3
182.086605597,30,36,1.75262868,13CCPS,3
433.8064450232,30,43,1.7493504,13CCPS,3
451.4025415766,30,39,1.74607212,13CCPS,3
645.6185498492,30,42,1.74170108,13CCPS,3
1168.3070570048,30,49,1.7384228,13CCPS,3
1574.2257065729,30,39,1.73405176,13CCPS,3
29.2381574174,30,50,1.72968072,13CCPS,3
2251.5365426683,30,47,1.72640244,13CCPS,3
2944.679276762,30,38,1.72312416,13CCPS,3
6415.0936388505,30,42,1.71984588,13CCPS,3
17049.3568177951,30,40,1.7165676,13CCPS,3
30045.3314938291,30,40,1.7111038,13CCPS,3
52947.5659534483,30,37,1.70673276,13CCPS,3
5417.6881151291,30,50,1.70126896,13CCPS,3
98061.8314321972,30,27,1.69689792,13CCPS,3
79323.8893391056,30,48,1.6947124,13CCPS,3
34992.1800231301,30,40,1.69034136,13CCPS,3
37389.6155805221,30,40,1.6892486,13CCPS,3
98.3159545185,30,45,1.69252688,13CCPS,3
25627.4266990674,30,37,1.68269204,13CCPS,3
19660.0672923963,30,39,1.68050652,13CCPS,3
4101.4554631563,30,40,1.67394996,13CCPS,3
3533.3202302837,30,46,1.67067168,13CCPS,3
